ID;LV95 Ost;LV95 Nord;WGS84 LÃ¤nge;WGS84 Breite
10901;2745457;1253840;9.366368493;47.41928853
10902;2742568;1252497;9.327667002;47.40784504
10903;2746695;1254717;9.383057054;47.42689918
10904;2747512;1256450;9.394454444;47.44229843
10905;2746400;1254303;9.379012741;47.42324245
10907;2743610;1253332;9.341736565;47.41512645
10908;2744025;1253148;9.347174639;47.41338135
10909;2744320;1253092;9.351064198;47.41281322
10910;2745015;1254046;9.360579888;47.42123829
10911;2745252;1253559;9.363561354;47.41680722
10913;2744503;1253747;9.353700085;47.41866247
10915;2745689;1253819;9.3694351;47.4190484
10917;2746391;1253887;9.378757167;47.41950405
10918;2746118;1254139;9.375222982;47.42183054
10920;2746109;1254926;9.375361214;47.42890873
10921;2745879;1254850;9.372288878;47.42827642
10922;2746068;1255522;9.375012935;47.43427668
10923;2746834;1255245;9.38507235;47.43161559
10924;2746739;1255617;9.383935798;47.43498155
10925;2746829;1255589;9.385119224;47.43470972
10926;2746584;1256131;9.382050592;47.43963763
10927;2747033;1255499;9.387792873;47.43385495
10929;2747451;1254970;9.393157175;47.42900502
10930;2747536;1254919;9.394266572;47.42852741
10931;2746392;1255010;9.379138504;47.42960111
10933;2746462;1256300;9.380489219;47.44118433
10934;2747194;1254539;9.38960987;47.4251873
10935;2749184;1254131;9.415838957;47.42107077
10936;2744896;1253644;9.358872962;47.41764995
10937;2748455;1255983;9.406796917;47.43788742
10941;2746737;1255852;9.383986537;47.43709496
10942;2749026;1255947;9.414351845;47.43743465
10943;2746957;1254466;9.386445825;47.4245839
10944;2746852;1254176;9.384959341;47.42199985
10951;2741370;1253210;9.312025009;47.41451439
10999;2747870;1256108;9.399085811;47.43914306
11076;2740751;1251880;9.303406396;47.4026882
11077;2741132;1252132;9.308531842;47.40487252
11256;2748336;1255866;9.405181035;47.43686228
11257;2747369;1255148;9.392129421;47.43062384
